osm_type,osm_id,osm_full_id,station_name,name_ko,name_en,lat,lon,railway,public_transport,station,subway,operator
node,5935738288,node/5935738288,신당,신당,Sindang,37.5653839,127.016252,station,station,subway,yes,서울교통공사
node,5935738290,node/5935738290,상왕십리,상왕십리,Sangwangsimni,37.564391,127.0292513,station,station,subway,yes,서울교통공사
node,5937884691,node/5937884691,신촌,신촌,Sinchon,37.5551517,126.9369084,station,station,subway,yes,서울교통공사
node,5937884696,node/5937884696,이대,이대,Ewha Womans Univ.,37.5567733,126.9458346,station,station,subway,yes,서울교통공사
node,5937884698,node/5937884698,아현,아현,Ahyeon,37.5574309,126.9561209,station,station,subway,yes,서울교통공사
node,5937907109,node/5937907109,지축,지축,Jichuk,37.6481183,126.9139297,station,station,subway,yes,한국철도공사;서울교통공사
node,5937907114,node/5937907114,원흥,원흥,Wonheung,37.6505121,126.8736684,station,station,subway,yes,한국철도공사
node,5937907115,node/5937907115,원당,원당,Wondang,37.6530498,126.8428981,station,station,subway,yes,한국철도공사
node,5937907124,node/5937907124,화정,화정,Hwajeong,37.6346457,126.832577,station,station,subway,,한국철도공사
node,5937907125,node/5937907125,대곡,대곡,Daegok,37.6317813,126.8102838,station,station,subway,,한국철도공사
node,5937907134,node/5937907134,마두,마두,Madu,37.6520039,126.7777596,station,station,subway,,한국철도공사
node,5937907135,node/5937907135,정발산,정발산,Jeongbalsan,37.659711,126.7732651,station,station,subway,,한국철도공사
node,5941651083,node/5941651083,삼송,삼송,Samsong,37.6531194,126.8954796,station,station,subway,yes,한국철도공사
node,5968926272,node/5968926272,마곡나루,마곡나루,Magongnaru,37.5662179,126.827917,station,station,subway,yes,서울시메트로9호선
node,6033312683,node/6033312683,당산,당산,Dangsan,37.5345964,126.902478,station,station,subway,yes,서울교통공사
node,6033314412,node/6033314412,문래,문래,Mullae,37.5183839,126.8948726,station,station,subway,yes,서울교통공사
node,6033314425,node/6033314425,신도림,신도림,Sindorim,37.5089397,126.8912262,station,station,subway,yes,서울교통공사
node,6033314429,node/6033314429,구로디지털단지,구로디지털단지,Guro Digital Complex,37.4852761,126.9015916,station,station,subway,yes,서울교통공사
node,6033314471,node/6033314471,신대방,신대방,Sindaebang,37.4875949,126.9133919,station,station,subway,yes,서울교통공사
node,6033314481,node/6033314481,신림,신림,Sillim,37.4842316,126.9296803,station,station,subway,yes,서울교통공사
node,6033314701,node/6033314701,봉천,봉천,Bongcheon,37.4823889,126.9419387,station,station,subway,yes,서울교통공사
node,6033314711,node/6033314711,서울대입구,서울대입구,Seoul Nat'l Univ.,37.481223,126.9527151,station,station,subway,yes,서울교통공사
node,6033314724,node/6033314724,낙성대,낙성대,Nakseongdae,37.4770623,126.9634876,station,station,subway,yes,서울교통공사
node,6033314782,node/6033314782,방배,방배,Bangbae,37.4814662,126.9977072,station,station,subway,yes,서울교통공사
node,6033314993,node/6033314993,서초,서초,Seocho,37.4917747,127.007681,station,station,subway,yes,서울교통공사
node,6033314995,node/6033314995,역삼,역삼,Yeoksam,37.5008221,127.03696,station,station,subway,yes,서울교통공사
node,6033315003,node/6033315003,삼성,삼성,Samseong,37.5088402,127.063143,station,station,subway,yes,서울교통공사
node,6033315007,node/6033315007,종합운동장,종합운동장,Sports Complex,37.5110581,127.0737204,station,station,subway,yes,서울교통공사
node,6033315010,node/6033315010,잠실새내,잠실새내,Jamsilsaenae,37.5115881,127.085571,station,station,subway,yes,서울교통공사
node,6033315017,node/6033315017,잠실,잠실,Jamsil,37.5132169,127.1001365,station,station,subway,yes,서울교통공사
node,6033364440,node/6033364440,양천구청,양천구청,Yangcheon-gu Office,37.512295,126.865945,station,station,subway,yes,서울교통공사
node,6033364448,node/6033364448,신정네거리,신정네거리,Sinjeongnegeori,37.5199831,126.8530463,station,station,subway,yes,서울교통공사
node,6033364545,node/6033364545,도림천,도림천,Dorimcheon,37.5144539,126.882684,station,station,subway,yes,서울교통공사
node,6033544227,node/6033544227,경찰병원,경찰병원,National Police Hospital,37.495401,127.1239038,station,station,subway,yes,서울교통공사
node,6033544263,node/6033544263,대청,,Daecheong,37.4936283,127.0795515,station,station,subway,yes,서울교통공사
node,6033544264,node/6033544264,학여울,학여울,Hangnyeoul,37.4964975,127.0698841,station,station,subway,yes,서울교통공사
node,6033544266,node/6033544266,대치,대치,Daechi,37.4944743,127.0631933,station,station,subway,yes,서울교통공사
node,6033544267,node/6033544267,매봉,,Maebong,37.4870692,127.046978,station,station,subway,yes,서울교통공사
node,6033544275,node/6033544275,남부터미널,남부터미널,Nambu Bus Terminal,37.484943,127.0163445,station,station,subway,yes,서울교통공사
node,6033544391,node/6033544391,잠원,잠원,Jamwon,37.5127513,127.0111504,station,station,subway,yes,서울교통공사
node,6033544395,node/6033544395,신사,신사,Sinsa,37.5161089,127.0195159,station,station,subway,yes,서울교통공사;네오트랜스주식회사
node,6033544405,node/6033544405,압구정,압구정,Apgujeong,37.5261847,127.0284989,station,station,subway,yes,서울교통공사
node,6033544412,node/6033544412,금호,금호,Geumho,37.5479735,127.0159247,station,station,subway,yes,서울교통공사
node,6033544419,node/6033544419,동대입구,동대입구,Dongguk Univ.,37.5590607,127.005727,station,station,subway,yes,서울교통공사
node,6033544429,node/6033544429,경복궁,,Gyeongbokgung,37.5757924,126.973629,station,station,subway,yes,서울교통공사
node,6033544434,node/6033544434,독립문,독립문,Dongnimmun,37.5745584,126.9578361,station,station,subway,yes,서울교통공사
node,6033544440,node/6033544440,무악재,무악재,Muakjae,37.5823172,126.9503501,station,station,subway,yes,서울교통공사
node,6033544444,node/6033544444,홍제,홍제,Hongje,37.5886894,126.9442528,station,station,subway,yes,서울교통공사
node,6033544459,node/6033544459,녹번,녹번,Nokbeon,37.6009733,126.9357307,station,station,subway,yes,서울교통공사
node,6033544501,node/6033544501,구파발,구파발,Gupabal,37.6368919,126.9188046,station,station,subway,yes,서울교통공사
node,6035746711,node/6035746711,대공원,대공원,Seoul Grand Park,37.4358034,127.0066085,station,station,subway,yes,한국철도공사
node,6035746718,node/6035746718,선바위,선바위,Seonbawi,37.4518055,127.0021114,station,station,subway,yes,한국철도공사
node,6036154649,node/6036154649,불암산,불암산,Buramsan,37.670098,127.0789245,station,station,subway,yes,서울교통공사
node,6036160301,node/6036160301,쌍문,쌍문,Ssangmun,37.6484028,127.0345788,station,station,subway,yes,서울교통공사
node,6036160306,node/6036160306,수유,수유,Suyu,37.6379932,127.0257229,station,station,subway,yes,서울교통공사
node,6036160315,node/6036160315,미아,미아,Mia,37.6264941,127.0261091,station,station,subway,yes,서울교통공사
node,6036160316,node/6036160316,미아사거리,,Miasageori,37.613185,127.0300915,station,station,subway,yes,서울교통공사
node,6036160319,node/6036160319,길음,,Gireum,37.6031599,127.0248525,station,station,subway,yes,서울교통공사
node,6036160325,node/6036160325,혜화,혜화,Hyehwa,37.5821381,127.0019525,station,station,subway,yes,서울교통공사
node,6036160341,node/6036160341,명동,명동,Myeongdong,37.5608977,126.9863762,station,station,subway,yes,서울교통공사
node,6036160342,node/6036160342,회현,회현,Hoehyeon,37.5586981,126.9784167,station,station,subway,yes,서울교통공사
node,6036160343,node/6036160343,서울역,서울역,Seoul Station,37.5528527,126.9725721,station,station,subway,yes,서울교통공사
node,6036160346,node/6036160346,숙대입구,숙대입구,Sookmyung Women's Univ.,37.5451337,126.9719573,station,station,subway,yes,서울교통공사
node,6036160347,node/6036160347,신용산,신용산,Sinyongsan,37.5291744,126.9678569,station,station,subway,yes,서울교통공사
node,6036160367,node/6036160367,사당,사당,Sadang,37.4765828,126.9816682,station,station,subway,yes,서울교통공사
node,6036160370,node/6036160370,남태령,남태령,Namtaeryeong,37.4646556,126.9886975,station,station,subway,yes,서울교통공사
node,6039313042,node/6039313042,마천,마천,Macheon,37.4949531,127.1527241,station,station,subway,yes,서울교통공사
node,6039313045,node/6039313045,거여,거여,Geoyeo,37.4933453,127.1437709,station,station,subway,yes,서울교통공사
node,6039313048,node/6039313048,개롱,개롱,Gaerong,37.4980749,127.1348432,station,station,subway,yes,서울교통공사
node,6039313052,node/6039313052,방이,방이,Bangi,37.5086429,127.1260388,station,station,subway,yes,서울교통공사
node,6039313054,node/6039313054,올림픽공원,올림픽공원,Olympic Park,37.5161479,127.1309298,station,station,subway,yes,서울교통공사
node,6039313056,node/6039313056,둔촌동,둔촌동,Dunchon-dong,37.5278024,127.1362433,station,station,subway,yes,서울교통공사
node,6039313589,node/6039313589,상일동,상일동,Sangil-dong,37.5567762,127.1667789,station,station,subway,yes,서울교통공사
node,6039313593,node/6039313593,고덕,고덕,Godeok,37.5549771,127.1537755,station,station,subway,yes,서울교통공사
node,6039313596,node/6039313596,명일,,Myeongil,37.5519533,127.1440847,station,station,subway,yes,서울교통공사
node,6039313600,node/6039313600,굽은다리,굽은다리,Gubeundari,37.5456375,127.1429622,station,station,subway,yes,서울교통공사
node,6039313602,node/6039313602,길동,길동,Gil-dong,37.5383683,127.1402049,station,station,subway,yes,서울교통공사
node,6039313604,node/6039313604,강동,강동,Gangdong,37.5357969,127.1325955,station,station,subway,yes,서울교통공사
node,6039313609,node/6039313609,광나루,광나루,Gwangnaru,37.5453014,127.103527,station,station,subway,yes,서울교통공사
node,6039313612,node/6039313612,아차산,아차산,Achasan,37.5516981,127.0897955,station,station,subway,yes,서울교통공사
node,6039313616,node/6039313616,장한평,장한평,Janghanpyeong,37.5614909,127.0645666,station,station,subway,yes,서울교통공사
node,6039313619,node/6039313619,답십리,답십리,Dapsipri,37.5668136,127.0526992,station,station,subway,yes,서울교통공사
node,6039313633,node/6039313633,마장,마장,Majang,37.5660982,127.042881,station,station,subway,yes,서울교통공사
node,6039313637,node/6039313637,행당,행당,Haengdang,37.5576063,127.0299929,station,station,subway,yes,서울교통공사
node,6039313638,node/6039313638,신금호,신금호,Singeumho,37.554429,127.0202485,station,station,subway,yes,서울교통공사
