osm_name,osm_lat,osm_lon,osm_full_id,station_cd,station_name,line_code,fr_code,match_level,confidence,reason
태릉입구,37.6176924,127.0756723,node,2646,태릉입구,,,LOW,0.65,multi_candidate_first
공릉,37.6256358,127.0730437,node,2718,공릉,,,HIGH,0.98,exact_normalized
하계,37.6360179,127.068252,node,2717,하계,,,HIGH,0.98,exact_normalized
중계,37.6455373,127.0638733,node,2716,중계,,,HIGH,0.98,exact_normalized
노원,37.6545911,127.0604932,node,0411,노원,,,LOW,0.65,multi_candidate_first
마들,37.665038,127.0577205,node,2714,마들,,,HIGH,0.98,exact_normalized
수락산,37.6778035,127.0553431,node,2713,수락산,,,HIGH,0.98,exact_normalized
광명사거리,37.4794207,126.8544598,node,2750,광명사거리,,,HIGH,0.98,exact_normalized
철산,37.4760012,126.8675973,node,2749,철산,,,HIGH,0.98,exact_normalized
가산디지털단지,37.4815947,126.8826166,node,1702,가산디지털단지,,,LOW,0.65,multi_candidate_first
남구로,37.4853612,126.8866651,node,2747,남구로,,,HIGH,0.98,exact_normalized
대림,37.4934375,126.8949325,node,0233,대림,,,LOW,0.65,multi_candidate_first
신풍,37.5001667,126.9088751,node,2745,신풍,,,HIGH,0.98,exact_normalized
보라매,37.4999284,126.9203764,node,2744,보라매,,,LOW,0.65,multi_candidate_first
신대방삼거리,37.499706,126.9282246,node,2743,신대방삼거리,,,HIGH,0.98,exact_normalized
장승배기,37.5050172,126.9392793,node,2742,장승배기,,,HIGH,0.98,exact_normalized
상도,37.503216,126.9476726,node,2741,상도,,,HIGH,0.98,exact_normalized
숭실대입구,37.4956862,126.9541334,node,2740,숭실대입구,,,HIGH,0.98,exact_normalized
남성,37.4843545,126.9718936,node,2739,남성,,,HIGH,0.98,exact_normalized
이수,37.4854491,126.9821095,node,2738,이수,,,HIGH,0.98,exact_normalized
내방,37.4876455,126.9935544,node,2737,내방,,,HIGH,0.98,exact_normalized
반포,37.5081748,127.0116346,node,2735,반포,,,HIGH,0.98,exact_normalized
논현,37.5109791,127.0213641,node,2734,논현,,,LOW,0.65,multi_candidate_first
학동,37.5139566,127.03075,node,2733,학동,,,HIGH,0.98,exact_normalized
청담,37.5190912,127.0516784,node,2731,청담,,,HIGH,0.98,exact_normalized
자양,37.5315323,127.0667418,node,2730,자양,,,HIGH,0.98,exact_normalized
용두,37.5740737,127.0380657,node,0250,용두,,,HIGH,0.98,exact_normalized
신답,37.5697194,127.0471268,node,0245,신답,,,HIGH,0.98,exact_normalized
신중동,37.5030388,126.7762325,node,3756,신중동,,,HIGH,0.98,exact_normalized
춘의,37.5037314,126.7872014,node,3755,춘의,,,HIGH,0.98,exact_normalized
부천종합운동장,37.5054566,126.7972885,node,3754,부천종합운동장,,,LOW,0.65,multi_candidate_first
까치울,37.5062407,126.8113842,node,3753,까치울,,,HIGH,0.98,exact_normalized
천왕,37.4863668,126.8389218,node,2751,천왕,,,HIGH,0.98,exact_normalized
수진,37.4374429,127.1406857,node,2826,수진,,,HIGH,0.98,exact_normalized
신흥,37.4410027,127.1476641,node,2825,신흥,,,HIGH,0.98,exact_normalized
단대오거리,37.4450845,127.1567783,node,2824,단대오거리,,,HIGH,0.98,exact_normalized
남한산성입구,37.4515531,127.1598132,node,2823,남한산성입구,,,HIGH,0.98,exact_normalized
산성,37.4568677,127.1499333,node,2822,산성,,,HIGH,0.98,exact_normalized
남위례,37.4627715,127.1392162,node,2828,남위례,,,HIGH,0.98,exact_normalized
장지,37.4788881,127.126067,node,2820,장지,,,HIGH,0.98,exact_normalized
문정,37.4858358,127.1225184,node,2819,문정,,,HIGH,0.98,exact_normalized
송파,37.4997247,127.1121822,node,2817,송파,,,HIGH,0.98,exact_normalized
석촌,37.5052954,127.1071105,node,2816,석촌,,,LOW,0.65,multi_candidate_first
몽촌토성,37.5175329,127.11267,node,2814,몽촌토성,,,HIGH,0.98,exact_normalized
강동구청,37.5306942,127.1206234,node,2813,강동구청,,,HIGH,0.98,exact_normalized
암사,37.5501059,127.1275385,node,2811,암사,,,HIGH,0.98,exact_normalized
중앙보훈병원,37.5282799,127.1482582,node,4138,중앙보훈병원,,,HIGH,0.98,exact_normalized
둔촌오륜,37.5198411,127.1384179,node,4137,둔촌오륜,,,HIGH,0.98,exact_normalized
한성백제,37.5166702,127.1162125,node,4135,한성백제,,,HIGH,0.98,exact_normalized
송파나루,37.511245,127.1127954,node,4134,송파나루,,,HIGH,0.98,exact_normalized
석촌고분,37.5024441,127.0966143,node,4132,석촌고분,,,HIGH,0.98,exact_normalized
삼전,37.5045347,127.0872078,node,4131,삼전,,,HIGH,0.98,exact_normalized
백석,37.6430359,126.7880378,node,1954,백석,,,HIGH,0.98,exact_normalized
성신여대입구,37.5926755,127.0164764,node,0418,성신여대입구,,,LOW,0.65,multi_candidate_first
청량리,37.5799754,127.0446284,node,0158,청량리,,,LOW,0.65,multi_candidate_first
신내,37.6125508,127.1040904,node,2649,신내,,,LOW,0.65,multi_candidate_first
종로3가,37.5704405,126.9923242,node,0153,종로3가,,,LOW,0.65,multi_candidate_first
이촌,37.5227123,126.9733678,node,0430,이촌,,,LOW,0.65,multi_candidate_first
서울역,37.5534363,126.9697994,node,0150,서울역,,,LOW,0.65,multi_candidate_first
건대입구,37.5403626,127.069384,node,0212,건대입구,,,LOW,0.65,multi_candidate_first
왕십리,37.5612078,127.0371526,node,0208,왕십리,,,LOW,0.65,multi_candidate_first
왕십리,37.5609924,127.0357093,node,0208,왕십리,,,LOW,0.65,multi_candidate_first
신설동,37.5745192,127.0254473,node,0156,신설동,,,LOW,0.65,multi_candidate_first
창동,37.6531817,127.0476987,node,1022,창동,,,LOW,0.65,multi_candidate_first
동작,37.5031081,126.9803481,node,0431,동작,,,LOW,0.65,multi_candidate_first
개화,37.5785381,126.7976654,node,4101,개화,,,HIGH,0.98,exact_normalized
샛강,37.517362,126.928282,node,4116,샛강,,,LOW,0.65,multi_candidate_first
디지털미디어시티,37.5773957,126.8980769,node,2619,디지털미디어시티,,,LOW,0.65,multi_candidate_first
디지털미디어시티,37.5761895,126.9014558,node,2619,디지털미디어시티,,,LOW,0.65,multi_candidate_first
노원,37.6563651,127.0634799,node,0411,노원,,,LOW,0.65,multi_candidate_first
당산,37.533531,126.9026845,node,0237,당산,,,LOW,0.65,multi_candidate_first
서울역,37.5560719,126.9723599,node,0150,서울역,,,LOW,0.65,multi_candidate_first
신길,37.5175077,126.9163515,node,1032,신길,,,LOW,0.65,multi_candidate_first
가산디지털단지,37.4804538,126.8828796,node,1702,가산디지털단지,,,LOW,0.65,multi_candidate_first
상계,37.6607649,127.073439,node,0410,상계,,,HIGH,0.98,exact_normalized
선유도,37.5378593,126.8939823,node,4112,선유도,,,HIGH,0.98,exact_normalized
신목동,37.544211,126.8831758,node,4111,신목동,,,HIGH,0.98,exact_normalized
염창,37.5470335,126.8753972,node,4110,염창,,,HIGH,0.98,exact_normalized
등촌,37.5511518,126.864574,node,4109,등촌,,,HIGH,0.98,exact_normalized
증미,37.5575102,126.8618185,node,4108,증미,,,HIGH,0.98,exact_normalized
가양,37.5611423,126.8550997,node,4107,가양,,,HIGH,0.98,exact_normalized
양천향교,37.5684524,126.8412958,node,4106,양천향교,,,HIGH,0.98,exact_normalized
신방화,37.5674973,126.8165921,node,4104,신방화,,,HIGH,0.98,exact_normalized
공항시장,37.5636577,126.8106016,node,4103,공항시장,,,HIGH,0.98,exact_normalized
부천종합운동장,37.5058364,126.7974606,node,3754,부천종합운동장,,,LOW,0.65,multi_candidate_first
원종,37.5238457,126.8048614,node,1981,원종,,,HIGH,0.98,exact_normalized
총신대입구(이수),37.48678,126.9822371,node,0432,총신대입구,,,HIGH,0.98,exact_normalized
동묘앞,37.5723419,127.015659,node,0159,동묘앞,,,LOW,0.65,multi_candidate_first
동대문,37.5704964,127.0095288,node,0155,동대문,,,LOW,0.65,multi_candidate_first
종로3가,37.5725401,126.9902702,node,0153,종로3가,,,LOW,0.65,multi_candidate_first
종로3가,37.5714989,126.9919062,node,0153,종로3가,,,LOW,0.65,multi_candidate_first
시청,37.5633295,126.9747869,node,0151,시청,,,LOW,0.65,multi_candidate_first
노량진,37.5136137,126.9415727,node,1004,노량진,,,LOW,0.65,multi_candidate_first
김포공항,37.5619877,126.8015843,node,2513,김포공항,,,LOW,0.65,multi_candidate_first
김포공항,37.561745,126.8015857,node,2513,김포공항,,,LOW,0.65,multi_candidate_first
옥수,37.5413731,127.0175496,node,0325,옥수,,,LOW,0.65,multi_candidate_first
신도림,37.5091331,126.8916649,node,1007,신도림,,,LOW,0.65,multi_candidate_first
장자호수공원,37.587406,127.1379117,node,2809,장자호수공원,,,HIGH,0.98,exact_normalized
구리,37.6022712,127.1408384,node,2808,구리,,,LOW,0.65,multi_candidate_first
동구릉,37.6105143,127.1381088,node,2807,동구릉,,,HIGH,0.98,exact_normalized
다산,37.6243286,127.1497626,node,2806,다산,,,HIGH,0.98,exact_normalized
별내,37.6420348,127.1278172,node,2805,별내,,,LOW,0.65,multi_candidate_first
뚝섬,37.5472351,127.04741,node,0210,뚝섬,,,HIGH,0.98,exact_normalized
동대문역사문화공원,37.5642774,127.0071354,node,0205,동대문역사문화공원,,,LOW,0.65,multi_candidate_first
동대문역사문화공원,37.5658762,127.0081569,node,0205,동대문역사문화공원,,,LOW,0.65,multi_candidate_first
종합운동장,37.511406,127.0762089,node,0218,종합운동장,,,LOW,0.65,multi_candidate_first
홍대입구,37.5566261,126.9234474,node,0239,홍대입구,,,LOW,0.65,multi_candidate_first
