route_label,연번,자치구,운행대수,운행시간,운행구간_텍스트,운행거리,배정대수,운행횟수,배차간격,seq_in_route,raw_stop_name,정류장명,정류장ID
운행구간,,,,-노선2:14대05:00～22:00,1석 수 역~시 흥 대 로(중 앙 차 로 버 스 정 류 소 정 차),,,,,1,1석 수 역,,
운행구간,,,,-노선2:14대05:00～22:00,1석 수 역~시 흥 대 로(중 앙 차 로 버 스 정 류 소 정 차),,,,,2,시 흥 대 로(중 앙 차 로 버 스 정 류 소 정 차),,
